Group,Class,Company
Period,WS_FiscalYearEnd,LVMH
Period,WS_PeriodStart,LVMH
Period,WS_PeriodEnd,LVMH
Period,WS_Currency,LVMH
NetSales,WS_NetSales_Latest,LVMH
NetSales,WS_NetSales_Prior,LVMH
NetSales,WS_NetSales_TwoYearsAgo,LVMH
NetSales,WS_NetSales_ReportedChangePct_LatestVsPrior,LVMH
NetSales,WS_NetSales_OrganicChangePct_LatestVsPrior,LVMH
Mix,WS_Sales_ChampagneAndWines_Latest,LVMH
Mix,WS_Sales_CognacAndSpirits_Latest,LVMH
Volumes,WS_Volume_Champagne_mBottles_Latest,LVMH
Volumes,WS_Volume_Cognac_mBottles_Latest,LVMH
Volumes,WS_Volume_OtherSpirits_mBottles_Latest,LVMH
Volumes,WS_Volume_StillAndSparklingWines_mBottles_Latest,LVMH
GeoMix,WS_GeoShare_USA_pct_Latest,LVMH
GeoMix,WS_GeoShare_AsiaExJapan_pct_Latest,LVMH
GeoMix,WS_GeoShare_EuropeExFrance_pct_Latest,LVMH
GeoMix,WS_GeoShare_France_pct_Latest,LVMH
GeoMix,WS_GeoShare_Japan_pct_Latest,LVMH
GeoMix,WS_GeoShare_OtherMarkets_pct_Latest,LVMH
GeoMix,WS_Largest_GeoShare_pct_Latest,LVMH
Profitability,WS_OperatingProfit_Latest,LVMH
Profitability,WS_OperatingProfit_Prior,LVMH
Profitability,WS_OperatingMargin_pct_Latest,LVMH
Profitability,WS_OperatingProfit_ChangePct_LatestVsPrior,LVMH
Profitability,WS_OperatingProfitSplit_ChampagneWines_Latest,LVMH
Profitability,WS_OperatingProfitSplit_CognacSpirits_Latest,LVMH
SegmentBalanceSheet_Capex,WS_TotalAssets_Latest,LVMH
SegmentBalanceSheet_Capex,WS_IntangiblesAndGoodwill_Latest,LVMH
SegmentBalanceSheet_Capex,WS_PPE_Latest,LVMH
SegmentBalanceSheet_Capex,WS_Inventory_Latest,LVMH
SegmentBalanceSheet_Capex,WS_OperatingCapex_Latest,LVMH
SegmentBalanceSheet_Capex,WS_SalesOutsideGroup_Latest,LVMH
SegmentBalanceSheet_Capex,WS_IntraGroupSales_Latest,LVMH
Quarterly,WS_Sales_Q1_LatestFY,LVMH
Quarterly,WS_Sales_Q2_LatestFY,LVMH
Quarterly,WS_Sales_Q3_LatestFY,LVMH
Quarterly,WS_Sales_Q4_LatestFY,LVMH
Commitments,WS_PurchaseCommitments_GrapesWinesEauxdevie_Latest,LVMH
Commitments,WS_PurchaseCommitments_GrapesWinesEauxdevie_lt1y_Latest,LVMH
Commitments,WS_PurchaseCommitments_GrapesWinesEauxdevie_1to5y_Latest,LVMH
Commitments,WS_PurchaseCommitments_GrapesWinesEauxdevie_gt5y_Latest,LVMH
Commitments,WS_PurchaseCommitments_Methodology,LVMH
ESG,WS_ESG_Biodiversity_Initiatives,LVMH
ESG,WS_ESG_WaterManagement_Initiatives,LVMH
ESG,WS_ESG_CarbonCommitments,LVMH
WinesSpirits_Segment,WS_Net_sales,LVMH
WinesSpirits_Segment,WS_Champagne_wines_sales,LVMH
WinesSpirits_Segment,WS_Cognac_spirits_sales,LVMH
WinesSpirits_Segment,WS_ROC,LVMH
WinesSpirits_Segment,WS_Operating_margin_pct,LVMH
WinesSpirits_Segment,WS_Volume_champagne_million_bottles,LVMH
WinesSpirits_Segment,WS_Volume_cognac_million_bottles,LVMH
WinesSpirits_Segment,WS_Volume_other_spirits_million_bottles,LVMH
WinesSpirits_Segment,WS_Volume_still_sparkling_wines_million_bottles,LVMH
WinesSpirits_Segment,WS_Sales_share_US_pct,LVMH
WinesSpirits_Segment,WS_Sales_share_Asia_ex_Japan_pct,LVMH
WinesSpirits_Segment,WS_Sales_share_Europe_ex_France_pct,LVMH
WinesSpirits_Segment,WS_Sales_share_France_pct,LVMH
WinesSpirits_Segment,WS_Purchase_commitments_grapes_wines_eauxdevie_total,LVMH
WinesSpirits_Segment,WS_Purchase_commitments_grapes_wines_eauxdevie_lt1y,LVMH
WinesSpirits_Segment,WS_Purchase_commitments_grapes_wines_eauxdevie_1to5y,LVMH
WinesSpirits_Segment,WS_Purchase_commitments_grapes_wines_eauxdevie_gt5y,LVMH
WinesSpirits_Segment,WS_Purchase_commitments_methodology,LVMH
WinesSpirits_Segment,WS_New_products_partnerships,LVMH
