Group,Class,Company
FiscalYear,Year,Pernod Ricard
FiscalYear,Period_start,Pernod Ricard
FiscalYear,Period_end,Pernod Ricard
Region,EMEA_Net_sales,Pernod Ricard
Region,EMEA_Revenue_growth_pct,Pernod Ricard
Region,APAC_Net_sales,Pernod Ricard
Region,Europe_Net_sales,Pernod Ricard
Region,Global_Net_sales,Pernod Ricard
Region,Rest_of_World_Net_sales,Pernod Ricard
Financials,Net_sales_absolute,Pernod Ricard
Financials,Revenue_growth,Pernod Ricard
Financials,Operating_profit,Pernod Ricard
Financials,Operating_margin,Pernod Ricard
Financials,Net_income_margin_pct,Pernod Ricard
Financials,Net_profit,Pernod Ricard
Financials,Eps,Pernod Ricard
Financials,Cash_flow,Pernod Ricard
Financials,Capex,Pernod Ricard
Financials,Opex,Pernod Ricard
Financials,Gross_profit,Pernod Ricard
Financials,Share_of_sales,Pernod Ricard
Financials,Gross_margin,Pernod Ricard
Financials,Revenue,Pernod Ricard
Financials,Currency,Pernod Ricard
Financials,Operating_income,Pernod Ricard
Financials,Net_income,Pernod Ricard
Financials,Net_income_growth,Pernod Ricard
Financials,Net_debt,Pernod Ricard
Financials,Net_debt_to_ebitda,Pernod Ricard
Financials,Dividend,Pernod Ricard
Financials,Pro,Pernod Ricard
Financials,Pro_growth,Pernod Ricard
FreeCashFlow_Debt,Free_cash_flow_amount,Pernod Ricard
FreeCashFlow_Debt,Net_debt_change_amount,Pernod Ricard
FreeCashFlow_Debt,Net_debt_ending_amount,Pernod Ricard
FreeCashFlow_Debt,Net_debt_to_ebitda_ratio,Pernod Ricard
FreeCashFlow_Debt,Dividend_per_share_proposed,Pernod Ricard
Brands,Quantity_key_brands,Pernod Ricard
Brands,Key_brands,Pernod Ricard
Brands,Brand_companies,Pernod Ricard
Brands,Quantity_brand_companies,Pernod Ricard
Brands,Strategic_local_brands,Pernod Ricard
Brands,Non_alcoholic_brands,Pernod Ricard
Sales_Drinks,Fy_group_net_sales_current,Pernod Ricard
Sales_Drinks,Fy_group_net_sales_prior,Pernod Ricard
Sales_Drinks,Fy_group_net_sales_reported_change_pct,Pernod Ricard
Sales_Drinks,Fy_group_net_sales_organic_change_pct,Pernod Ricard
Sales_Drinks,Fy_group_net_sales_perimeter_contrib_pct,Pernod Ricard
Sales_Drinks,Fy_group_net_sales_fx_contrib_pct,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_current,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_prior,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_reported_change_pct,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_organic_change_pct,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_perimeter_contrib_pct,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_fx_contrib_pct,Pernod Ricard
Sales_Drinks,Fy_region_net_sales_share_of_group_pct,Pernod Ricard
Sales_Drinks,H2_group_net_sales_current,Pernod Ricard
Sales_Drinks,H2_group_net_sales_prior,Pernod Ricard
Sales_Drinks,H2_group_net_sales_reported_change_pct,Pernod Ricard
Sales_Drinks,H2_group_net_sales_organic_change_pct,Pernod Ricard
Sales_Drinks,Q4_region_net_sales_current,Pernod Ricard
Sales_Drinks,Q4_region_net_sales_prior,Pernod Ricard
Sales_Drinks,Q4_region_net_sales_reported_change_pct,Pernod Ricard
Sales_Drinks,Q4_region_net_sales_organic_change_pct,Pernod Ricard
Sales_Drinks,Fx_impact,Pernod Ricard
Sales_Drinks,Perimeter_impact,Pernod Ricard
Sales_Drinks,Americas_growth,Pernod Ricard
Sales_Drinks,Usa_growth,Pernod Ricard
Sales_Drinks,Asia_row_growth,Pernod Ricard
Sales_Drinks,China_growth,Pernod Ricard
Sales_Drinks,India_growth,Pernod Ricard
Results_Drinks,Pro_amount,Pernod Ricard
Results_Drinks,Pro_organic_growth_pct,Pernod Ricard
Results_Drinks,Gross_margin_expansion_bps,Pernod Ricard
Results_Drinks,Ap_amount,Pernod Ricard
Results_Drinks,Ap_pct_of_net_sales,Pernod Ricard
Results_Drinks,Operating_margin_org_bps,Pernod Ricard
Results_Drinks,Operating_margin_org_pct,Pernod Ricard
Results_Drinks,Operating_margin_reported_pct,Pernod Ricard
Results_Drinks,Fx_impact_amount,Pernod Ricard
Results_Drinks,Perimeter_effect_amount,Pernod Ricard
Results_Drinks,Group_share_net_pro_amount,Pernod Ricard
Results_Drinks,Group_share_net_pro_change_pct,Pernod Ricard
Results_Drinks,Avg_cost_of_debt_pct,Pernod Ricard
Results_Drinks,Group_share_net_profit_amount,Pernod Ricard
Results_Drinks,Group_share_net_profit_change_pct,Pernod Ricard
Results_Drinks,Eps_amount,Pernod Ricard
Corporate_information,Headquarters,Pernod Ricard
Corporate_information,Executive_committee_examples,Pernod Ricard
Corporate_information,Executive_committee_quantity,Pernod Ricard
Corporate_information,Board_of_directors_examples,Pernod Ricard
Corporate_information,Board_of_directors_quantity,Pernod Ricard
Corporate_information,Affiliate_name,Pernod Ricard
Corporate_information,Affiliates,Pernod Ricard
Corporate_information,Affiliate_quantity,Pernod Ricard
Corporate_information,Avg_age,Pernod Ricard
Corporate_information,Qty_nationalities,Pernod Ricard
Social_DEI,Total_employees_social,Pernod Ricard
Social_DEI,Women_in_workforce_pct,Pernod Ricard
Social_DEI,Women_in_management_pct,Pernod Ricard
Social_DEI,Ethnically_diverse_leaders_pct,Pernod Ricard
Social_DEI,Employees_with_disabilities_pct_social,Pernod Ricard
Social_DEI,Lgbtq_inclusion_programs,Pernod Ricard
Social_DEI,Community_investment_amount,Pernod Ricard
Environmental,Carbon_emissions_total,Pernod Ricard
Environmental,Carbon_emissions_scope3,Pernod Ricard
Environmental,Emission_intensity,Pernod Ricard
Environmental,Renewable_energy_pct,Pernod Ricard
Environmental,Energy_consumption_total,Pernod Ricard
