Class,Type,Description,Company
Year,str,Fiscal year please retun me date in format DD/MM/YYYY otherwise retun me 'Unknown',Pernod Ricard
Period_start,str,Period start date please retun me date in format DD/MM/YYYY ortherwise retun me 'Unknown',Pernod Ricard
Period_end,str,Period end date please retun me date in format DD/MM/YYYY otherwise retun me 'Unknown',Pernod Ricard
Net_sales_absolute,float,"Net sales (absolute) for the period. Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If multiple periods are shown, use the latest full-year figure. If not found, output -1.",Pernod Ricard
Revenue_growth,float,"Give me Revenue growth percentage for the period. Extract ONLY the numeric percentage value, without the % sign. Example: 'Revenue grew by 7.5%' → 7.5. If not found, output -1.",Pernod Ricard
Operating_profit,int,"Give meOperating profit (from the consolidated income statement). Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Operating_margin,float,"Operating margin percentage. Extract ONLY the numeric percentage value, without the % sign. If not found, output -1.",Pernod Ricard
Net_income_margin_pct,float,"Net income margin percentage. Extract ONLY the numeric percentage value, without the % sign. If not found, output -1.",Pernod Ricard
Net_profit,int,"Net profit (net income). Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Eps,float,"Earnings per share (EPS, basic or diluted – choose the figure explicitly labeled or the main EPS if multiple). Extract ONLY the numeric value, ignore currency symbols. If EPS is given in cents, convert to full currency units (e.g., 120 cents → 1.2). If not found, output -1.",Pernod Ricard
Cash_flow,int,"Free cash flow OR net cash from operating activities (choose free cash flow if both are available). Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Capex,int,"Capital expenditures (Capex). Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Opex,int,"Operating expenses (Opex), including selling, general and administrative and other operating costs as reported. Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Gross_profit,int,"Gross profit. Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Share_of_sales,float,"Share of sales by region (percentage). If multiple regions are given, take the largest regional share. Extract ONLY the numeric percentage value, without the % sign. If not found, output -1.",Pernod Ricard
Gross_margin,float,"Gross margin percentage for the most recent full fiscal year, for the entire group/company. Treat 'gross margin' as any of these phrases: 'gross margin', 'gross profit margin', 'gross profit as a percentage of revenue/sales/net sales'. Use the consolidated company figure in %, not basis-points and not a segment-specific value. If multiple gross margins are given, pick the one clearly labeled for the whole group. Return ONLY the numeric value, without the % sign (e.g. 60.4 for 60.4%). If you cannot find a gross margin percentage, output -1.",Pernod Ricard
Revenue,int,"Total revenue (net sales) for the period. Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. Do NOT include unit or currency text here (those are captured separately). If not found, output -1.",Pernod Ricard
Currency,str,"Currency in which the financial statements are presented (e.g., EUR, USD, GBP). Return ONLY the standard currency code if explicitly stated (e.g., 'EUR'). If not clearly stated, output 'Unknown'.",Pernod Ricard
Operating_income,int,"Operating income (sometimes called 'recurring operating income' or 'ROC'). Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Net_income,int,"Net income, group share (attributable to equity holders of the parent). Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
Net_income_growth,float,"Year-over-year growth rate (percentage change) of NET INCOME for the most recent full fiscal year, for the entire group/company. Treat 'net income' as any of these equivalent phrases: 'profit attributable to equity shareholders', 'profit attributable to owners of the parent', 'profit for the year', or 'net profit'. Look for wording such as 'increased by X%', 'decreased by X%', 'change of X%', 'growth of X%'. Use the OVERALL company figure, not per share, not per segment. If both reported and organic/underlying/constant-currency growth are given, PREFER the reported (IFRS/GAAP) total growth. If only one type exists, use it. Return ONLY the numeric value (including sign), without the % sign (e.g. 12.3 for +12.3%, -5.4 for -5.4%). If you cannot find any clear year-over-year growth percentage for net income, output -1.",Pernod Ricard
Net_debt,float,"Net debt. Extract ONLY the numeric amount in the original currency, ignore currency symbols. Convert thousands/millions/billions to the full number. If not found, output -1.",Pernod Ricard
